last_name, first_name,player_id,year,b_total_pa,b_k_percent,b_bb_percent,on_base_plus_slg,wobacon,xwobacon,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Urshela, Gio,570482,2021,36,19.4,5.6,.775,.360,.378,91.5,3.3,50,
Locastro, Tim,641796,2021,41,24.4,7.3,.693,.353,.318,80.4,3.2,22.6,
Mullins II, Cedric,656775,2021,41,22.0,9.8,1.188,.615,.424,90.4,3,42.4,
Bogaerts, Xander,593428,2021,35,20.0,8.6,.866,.439,.430,87.5,7.1,39.3,
Martinez, J.D.,502110,2021,38,21.1,5.3,1.583,.735,.588,95.3,21.9,59.4,
Bryant, Kris,592178,2021,40,27.5,12.5,1.022,.481,.420,90.1,14.8,48.1,
Heyward, Jason,518792,2021,35,28.6,5.7,.473,.275,.322,92.1,4,48,
Contreras, Willson,575929,2021,37,32.4,13.5,.700,.427,.410,83.4,10,25,
Happ, Ian,664023,2021,36,25.0,19.4,.556,.255,.385,87.9,8.7,43.5,
Suarez, Eugenio,553993,2021,41,31.7,17.1,.835,.480,.411,85.1,13.6,27.3,
Naquin, Tyler,571980,2021,36,22.2,11.1,1.195,.617,.698,97.7,21.7,78.3,
India, Jonathan,663697,2021,36,19.4,0.0,.841,.420,.288,84.7,7.1,32.1,
Tapia, Raimel,606132,2021,37,8.1,5.4,.696,.305,.303,85.3,3,24.2,
Candelario, Jeimer,600869,2021,43,20.9,14.0,.777,.405,.365,89.3,3.1,46.9,
Bregman, Alex,608324,2021,35,14.3,8.6,.843,.414,.452,90,10.7,50,
Altuve, Jose,514888,2021,46,10.9,10.9,.866,.378,.448,88,7.7,46.2,
Tucker, Kyle,663656,2021,45,15.6,4.4,.842,.376,.473,91.8,15.4,51.3,
Correa, Carlos,621043,2021,44,22.7,6.8,1.011,.475,.476,93.3,11.8,52.9,
Turner, Justin,457759,2021,41,14.6,7.3,1.090,.520,.374,87.5,9.4,28.1,
Andrus, Elvis,462101,2021,41,12.2,4.9,.355,.144,.267,87.2,2.8,22.2,
Olson, Matt,621566,2021,37,24.3,8.1,.679,.337,.392,94.6,8.7,47.8,
Profar, Jurickson,595777,2021,40,10.0,12.5,.683,.282,.261,83.2,0,29.4,
Hosmer, Eric,543333,2021,43,18.6,9.3,1.050,.505,.394,92.3,6.1,51.5,
Machado, Manny,592518,2021,48,22.9,14.6,.793,.402,.542,97.2,18.8,71.9,
Longoria, Evan,446334,2021,37,18.9,8.1,.940,.523,.561,93.9,20,63.3,
Goldschmidt, Paul,502671,2021,42,19.0,7.1,.568,.334,.489,96.6,8.6,71.4,
Arozarena, Randy,668227,2021,41,34.1,4.9,.815,.528,.373,89.7,7.4,48.1,
Meadows, Austin,640457,2021,44,20.5,15.9,1.009,.435,.486,91.8,10.3,44.8,
Biggio, Cavan,624415,2021,39,28.2,12.8,.569,.333,.265,89.9,4.3,34.8,
Guerrero Jr., Vladimir,665489,2021,43,18.6,18.6,1.087,.554,.464,92.7,10.7,46.4,
Kepler, Max,596146,2021,37,18.9,8.1,.762,.345,.359,91,3.7,40.7,
Ozuna, Marcell,542303,2021,41,36.6,12.2,.383,.331,.396,90.3,12,40,
Albies, Ozzie,645277,2021,42,14.3,2.4,.399,.254,.392,90.5,5.3,42.1,
Abreu, Jose,547989,2021,47,31.9,12.8,.673,.382,.339,91.5,7.1,46.4,
Stanton, Giancarlo,519317,2021,39,28.2,7.7,.509,.268,.335,94.5,6.9,58.6,
Garcia, Avisail,541645,2021,36,25.0,5.6,.760,.350,.590,93.8,21.4,57.1,
Urias, Luis,649966,2021,35,28.6,17.1,.430,.273,.305,85,5,35,
