last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Lowe, Brandon,664040,2021,39,.526,.276,.284,84.9,0,34.8,
Solak, Nick,669256,2021,40,.586,.299,.295,90,4.5,31.8,
Taveras, Leody,665750,2021,30,.274,.136,.224,87.9,7.1,35.7,
Grichuk, Randal,545341,2021,40,.928,.386,.339,92.8,9.4,50,
Bichette, Bo,666182,2021,43,.826,.364,.322,90.6,12.5,46.9,
Simmons, Andrelton,592743,2021,34,.981,.416,.407,90.1,0,48,
Buxton, Byron,621439,2021,31,1.734,.663,.559,96.9,26.9,69.2,
Cruz Jr., Nelson,443558,2021,32,1.395,.556,.617,97.1,34.8,69.6,
Hoskins, Rhys,656555,2021,36,.944,.350,.324,92.5,14.3,64.3,
Bohm, Alec,664761,2021,37,.623,.293,.363,93.5,6.7,53.3,
McCutchen, Andrew,457705,2021,35,.700,.287,.316,87,4.5,27.3,
Riley, Austin,663586,2021,36,.465,.226,.293,86.5,4.3,43.5,
Swanson, Dansby,621020,2021,38,.562,.214,.292,91.5,12,52,
Mercedes, Yermin,606213,2021,36,1.337,.553,.480,86.1,13.8,31,
Madrigal, Nick,663611,2021,34,.629,.274,.274,85.3,0,16.1,
Marte, Starling,516782,2021,41,.819,.391,.404,91,6.7,50,
Hicks, Aaron,543305,2021,36,.476,.282,.294,87.6,8.7,26.1,
Bruce, Jay,457803,2021,32,.472,.245,.236,83.8,0,15.8,
Urshela, Gio,570482,2021,36,.775,.305,.318,91.5,3.3,50,
Sanchez, Gary,596142,2021,32,.962,.389,.412,93,12.5,37.5,
Bradley Jr. Jr., Jackie,598265,2021,32,.447,.216,.264,89.3,4.5,50,
Locastro, Tim,641796,2021,41,.693,.314,.291,80.4,3.2,22.6,
Mullins II, Cedric,656775,2021,41,1.188,.499,.371,90.4,3,42.4,
Bogaerts, Xander,593428,2021,35,.866,.369,.363,87.5,7.1,39.3,
Dalbec, Bobby,666915,2021,28,.374,.247,.448,90.3,22.2,38.9,
Martinez, J.D.,502110,2021,38,1.583,.593,.481,95.3,21.9,59.4,
Bryant, Kris,592178,2021,40,1.022,.391,.354,90.1,14.8,48.1,
Heyward, Jason,518792,2021,35,.473,.212,.242,92.1,4,48,
Bote, David,623520,2021,28,.432,.229,.331,90.9,5.3,47.4,
Contreras, Willson,575929,2021,37,.700,.364,.356,83.4,10,25,
Happ, Ian,664023,2021,36,.556,.269,.342,87.9,8.7,43.5,
Suarez, Eugenio,553993,2021,41,.835,.375,.341,85.1,13.6,27.3,
Naquin, Tyler,571980,2021,36,1.195,.492,.544,97.7,21.7,78.3,
India, Jonathan,663697,2021,36,.841,.366,.274,84.7,7.1,32.1,
Tapia, Raimel,606132,2021,37,.696,.286,.285,85.3,3,24.2,
Candelario, Jeimer,600869,2021,43,.777,.371,.345,89.3,3.1,46.9,
Mazara, Nomar,608577,2021,33,.555,.308,.323,92.1,10.3,48.3,
Cabrera, Miguel,408234,2021,27,.514,.233,.324,91.2,10,50,
Bregman, Alex,608324,2021,35,.843,.351,.380,90,10.7,50,
Altuve, Jose,514888,2021,46,.866,.364,.419,88,7.7,46.2,
Tucker, Kyle,663656,2021,45,.842,.342,.420,91.8,15.4,51.3,
Maldonado, Martin,455117,2021,33,.215,.099,.141,82.8,0,11.8,
Correa, Carlos,621043,2021,44,1.011,.395,.396,93.3,11.8,52.9,
Turner, Justin,457759,2021,41,1.090,.457,.343,87.5,9.4,28.1,
McKinstry, Zach,656716,2021,31,1.033,.413,.352,88.7,11.5,34.6,
Betts, Mookie,605141,2021,28,1.030,.442,.421,89.2,7.7,46.2,
Andrus, Elvis,462101,2021,41,.355,.134,.234,87.2,2.8,22.2,
Olson, Matt,621566,2021,37,.679,.306,.339,94.6,8.7,47.8,
Gonzalez, Erik,570481,2021,25,.533,.294,.325,88.6,13,39.1,
Profar, Jurickson,595777,2021,40,.683,.313,.297,83.2,0,29.4,
Hosmer, Eric,543333,2021,43,1.050,.450,.373,92.3,6.1,51.5,
Machado, Manny,592518,2021,48,.793,.361,.446,97.2,18.8,71.9,
Posey III, Buster,457763,2021,27,.912,.372,.404,92,15,45,
Longoria, Evan,446334,2021,37,.940,.427,.455,93.9,20,63.3,
Flores, Wilmer,527038,2021,27,.524,.239,.305,89.6,0,28.6,
Goldschmidt, Paul,502671,2021,42,.568,.300,.418,96.6,8.6,71.4,
Arozarena, Randy,668227,2021,41,.815,.380,.287,89.7,7.4,48.1,
Meadows, Austin,640457,2021,44,1.009,.409,.440,91.8,10.3,44.8,
White, Eli,642201,2021,27,.616,.262,.276,87.2,5.6,38.9,
Biggio, Cavan,624415,2021,39,.569,.283,.245,89.9,4.3,34.8,
Tellez, Rowdy,642133,2021,27,.151,.141,.191,96,5.3,63.2,
Guerrero Jr., Vladimir,665489,2021,43,1.087,.484,.431,92.7,10.7,46.4,
Kepler, Max,596146,2021,37,.762,.319,.330,91,3.7,40.7,
Ozuna, Marcell,542303,2021,41,.383,.271,.306,90.3,12,40,
Albies, Ozzie,645277,2021,42,.399,.235,.346,90.5,5.3,42.1,
Abreu, Jose,547989,2021,47,.673,.305,.282,91.5,7.1,46.4,
Garcia, Leury,544725,2021,29,.246,.109,.167,79,0,15,
Stanton, Giancarlo,519317,2021,39,.509,.229,.275,94.5,6.9,58.6,
Frazier, Clint,640449,2021,31,.550,.261,.250,79.1,5,25,
Narvaez, Omar,553882,2021,29,1.197,.497,.411,89,9.5,38.1,
Garcia, Avisail,541645,2021,36,.760,.288,.460,93.8,21.4,57.1,
Urias, Luis,649966,2021,35,.430,.290,.307,85,5,35,
Perez, Roberto,547379,2021,25,.996,.426,.429,86.6,16.7,33.3,
