last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Bryant, Kris,592178,2021,44,.936,.392,.354,90.1,14.8,48.1,
Baez, Javier,595879,2021,47,.656,.284,.243,92.1,8.3,50,
Heyward, Jason,518792,2021,42,.563,.249,.252,92.3,3.6,46.4,
Nimmo, Brandon,607043,2021,36,1.155,.508,.413,88.1,5,35,
Senzel, Nick,669222,2021,37,.664,.307,.333,88.9,0,29.6,
Moustakas, Mike,519058,2021,47,.957,.410,.361,86.4,6.3,31.3,
Cave, Jake,595909,2021,41,.463,.225,.303,87.1,4.3,30.4,
Polanco, Jorge,593871,2021,53,.456,.209,.321,87.5,2.6,33.3,
Ohtani, Shohei,660271,2021,50,1.125,.473,.460,94.2,26.5,52.9,
Fletcher, David,664058,2021,57,.486,.222,.254,80,0,14.3,
Iglesias, Jose,578428,2021,48,.527,.234,.282,88.3,2.6,34.2,
Brantley Jr., Michael,488726,2021,36,1.038,.439,.489,91.9,17.2,48.3,
Freeman, Freddie,518692,2021,51,.814,.339,.494,94.4,15.8,55.3,
Acuna Jr., Ronald,660670,2021,54,1.500,.609,.554,97.1,22.5,65,
Yastrzemski, Mike,573262,2021,46,.616,.272,.253,84.9,8.7,30.4,
Myers, Wil,571976,2021,49,1.071,.457,.412,88,15.6,46.9,
Pham, Tommy,502054,2021,53,.445,.234,.386,90.1,10.8,43.2,
Lopez, Nicky,670032,2021,36,.564,.263,.270,87.1,0,21.4,
Soler, Jorge,624585,2021,40,.501,.254,.271,93.1,7.1,50,
Santana, Carlos,467793,2021,44,.690,.310,.355,89.6,7.4,40.7,
Merrifield, Whit,593160,2021,46,1.041,.424,.338,90.7,5.6,36.1,
Benintendi, Andrew,643217,2021,45,.561,.264,.261,88.4,0,23.1,
Ramos, Wilson,467092,2021,42,1.139,.478,.472,97.3,24,72,
Shaw, Travis,543768,2021,41,.933,.403,.409,86.2,10.3,37.9,
Hiura, Keston,669374,2021,40,.454,.216,.274,89.4,10,30,
Peralta, David,444482,2021,48,.614,.283,.286,89.2,5.7,34.3,
Escobar, Eduardo,500871,2021,47,.789,.335,.319,85.2,14.7,32.4,
Lux, Gavin,666158,2021,45,.562,.241,.267,90.5,0,37.5,
Muncy, Max,571970,2021,50,1.152,.485,.471,90.3,6.3,43.8,
Pollock, AJ,572041,2021,38,.575,.262,.287,89.4,4,40,
Taylor, Chris,621035,2021,40,.998,.436,.420,92.5,20,50,
Reyes, Franmil,614177,2021,43,.918,.383,.391,94,20.7,55.2,
Hernandez, Cesar,514917,2021,47,.524,.244,.412,88.4,15.2,30.3,
Duvall, Adam,594807,2021,38,.973,.409,.360,91.9,18.2,45.5,
Aguilar, Jesus,542583,2021,41,.851,.381,.358,87.2,3.2,32.3,
Anderson, Brian,605119,2021,42,.595,.265,.296,87.4,9.7,32.3,
Cooper, Garrett,643265,2021,36,.720,.324,.292,88.1,0,44.4,
Dickerson, Corey,572816,2021,39,.705,.302,.324,83.8,3.7,33.3,
Santander, Anthony,623993,2021,42,.657,.288,.298,92.2,6.9,48.3,
Moran, Colin,592567,2021,48,.884,.389,.370,91,16,44,
Frazier, Adam,624428,2021,51,.881,.391,.382,83,0,13.5,
Evans, Phillip,595943,2021,45,1.076,.463,.414,92.8,9.1,51.5,
Martinez, J.D.,502110,2021,50,1.307,.543,.448,94.9,20.6,55.9,
